collection_id,collection_name,holder_count,gn_community_id,gn_community_size,total_connections,intra_community_connections,inter_community_connections,gn_community_cohesion_score,gn_bridge_score,intra_community_weight,inter_community_weight
0x3019bf1dfb84e5b46ca9d0eec37de08a59a41308,Nad Name Service,50000,0,1,0,0,0,0.0,0.0,0.0,0.0
0xe25c57ff3eea05d0f8be9aaae3f522ddc803ca4e,Monadverse: Chapter 1,38311,1,1,1,0,1,0.0,1.0,0.0,1.0
0xa18e1c7c6e8c663c5d835fffd70ef07b482fe884,Monadverse: Chapter 10,19860,2,1,37,0,37,0.0,1.0,0.0,26.66474369465899
0x3a9454c1b4c84d1861bb1209a647c834d137b442,The10kSquad,7515,3,47,46,45,1,0.9782608695652174,0.021739130434782608,40.87778153219663,1.0
0x4870e911b1986c6822a171cdf91806c3d44ce235,Sealuminati Testnetooor,3551,3,47,47,46,1,0.9787234042553191,0.02127659574468085,42.104437069732704,1.0
0xa568cabe34c8ca0d2a8671009ae0f6486a314425,Meowwnads,3227,3,47,47,46,1,0.9787234042553191,0.02127659574468085,39.25468519114798,1.0
0x87e1f1824c9356733a25d6bed6b9c87a3b31e107,Spikes,2888,3,47,47,46,1,0.9787234042553191,0.02127659574468085,42.06237331051185,1.0
0x9436689d617dd6696f94cd3d8bbdd234f30d2a52,ROARRR,2792,3,47,47,46,1,0.9787234042553191,0.02127659574468085,44.205686886514826,1.0
0x5a21b0f4a4f9b54e16282b6ed5ad014b3c77186f,La Mouch,2776,3,47,47,46,1,0.9787234042553191,0.02127659574468085,41.269335101315306,1.0
0x66e40f67afd710386379a6bb24d00308f81c183f,Molandaks,2670,3,47,46,45,1,0.9782608695652174,0.021739130434782608,36.57944223346084,1.0
0xa980f072bc06d67faec2b03a8ada0d6c9d0da9f8,Legacy Eggs,1716,3,47,47,46,1,0.9787234042553191,0.02127659574468085,43.15911641499314,0.7374438138134736
0x6ed438b2a8eff227e7e54b5324926941b140eea0,Blocknads,1603,3,47,45,44,1,0.9777777777777777,0.022222222222222223,40.0380931159289,1.0
0x78ed9a576519024357ab06d9834266a04c9634b7,TheDaks,1442,3,47,47,46,1,0.9787234042553191,0.02127659574468085,41.62728096878146,1.0
0xc5c9425d733b9f769593bd2814b6301916f91271,Purple Frens,1007,3,47,47,46,1,0.9787234042553191,0.02127659574468085,40.099731293650564,1.0
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,3,47,47,46,1,0.9787234042553191,0.02127659574468085,39.165676024786485,0.19444979830097112
0x88bbcba96a52f310497774e7fd5ebadf0ece21fb,Chewy,937,3,47,47,46,1,0.9787234042553191,0.02127659574468085,39.00737184998329,1.0
0xd20ef03e432208af083c0fb4e401049f4f29949f,Lil chogstars Superstarlist Pass,899,3,47,47,46,1,0.9787234042553191,0.02127659574468085,43.43784278572521,0.22471987399121157
0xb981a81b45f604f82bd502a35c6dbe25dd2e8b8d,RealNads Premint Pass,894,3,47,45,45,0,1.0,0.0,39.426322622539516,0.0
0xe6b5427b174344fd5cb1e3d5550306b0055473c6,Chogs Mystery Chest,800,3,47,47,46,1,0.9787234042553191,0.02127659574468085,43.200744257834735,0.3632077874504044
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,3,47,48,46,2,0.9583333333333334,0.041666666666666664,39.43909383563636,1.078612863389561
0xf105209830ebcaef5f1b85fb3e7f44256d1af2e3,Moyaking Pass,676,3,47,47,46,1,0.9787234042553191,0.02127659574468085,41.17616898515227,0.4395752756962115
0x3ff5ab5eea49d25ab00b532e9e50b17d5218068c,BOBR,617,3,47,47,46,1,0.9787234042553191,0.02127659574468085,41.48362739391571,0.6805649571294532
0x7da93750de078bfbbab0dd30635448e9ec7fb8f0,EGGcellent,564,3,47,47,46,1,0.9787234042553191,0.02127659574468085,42.90904382917328,1.0
0xbc8f6824fde979848ad97a52bced2d6ca1842a68,Momo,548,3,47,48,46,2,0.9583333333333334,0.041666666666666664,43.60082911708338,1.0558642198641113
0x6341c537a6fc563029d8e8caa87da37f227358f4,Molandaks Mint Pass,546,3,47,47,46,1,0.9787234042553191,0.02127659574468085,40.80188781721949,1.0
0x49d54cd9ca8c5ecadbb346dc6b4e31549f34e405,Overnads: Whitelist Pass,510,3,47,47,46,1,0.9787234042553191,0.02127659574468085,44.78585457782788,0.706955142521871
0xff59f1e14c4f5522158a0cf029f94475ba469458,Mystery Token,495,3,47,47,46,1,0.9787234042553191,0.02127659574468085,44.85207488698061,0.16155478071793966
0xb0a663cf4853e67221fee43322fda402e21debfc,Llamao Genesis,459,3,47,46,45,1,0.9782608695652174,0.021739130434782608,42.597685161627815,1.0
0x26c86f2835c114571df2b6ce9ba52296cc0fa6bb,Lil Chogstars,426,3,47,46,45,1,0.9782608695652174,0.021739130434782608,34.60519896892287,0.3925350218661919
0xe06f294f288478671e19dba629ab003839705e95,BUNS,387,3,47,45,45,0,1.0,0.0,29.38919078635646,0.0
0xe047e7501ac25d3003a8da147648b088d9df0b07,LootGO Looties,350,3,47,48,46,2,0.9583333333333334,0.041666666666666664,40.16818577565718,0.6380204776074136
0x7427f8f5a390cde438f229e8b4e481677ca98af5,t3mu,322,3,47,47,46,1,0.9787234042553191,0.02127659574468085,41.418331924967156,1.0
0xed52e0d80f4e7b295df5e622b55eff22d262f6ed,r3tards,317,3,47,46,46,0,1.0,0.0,41.551681219347515,0.0
0x3db6c11474893689cdb9d7cdedc251532cadf32b,Mecha Box Mint Pass,294,3,47,47,46,1,0.9787234042553191,0.02127659574468085,43.74723342706592,1.0
0xe8f0635591190fb626f9d13c49b60626561ed145,Skrumpets,283,3,47,45,45,0,1.0,0.0,40.9411375747981,0.0
0x46c66c40711a2953d1768926e53134c7ab272cd5,Blench Pass,281,3,47,47,46,1,0.9787234042553191,0.02127659574468085,43.56421741864096,1.0
0x2b9ee0a88d69eef1cffe3ea330165e17fd976c3c,r3tardv3rs3,266,3,47,47,46,1,0.9787234042553191,0.02127659574468085,43.648343379355516,0.5853729505831257
0x2ace467d5c55d75cf04ae7b9c7672bc499d8e246,Monadverse Genesis Hatch,259,3,47,46,45,1,0.9782608695652174,0.021739130434782608,22.45605674906578,0.17547107929536468
0x6aa4872ab4e0fdf078efd17acd45b6352f47c39c,Mon Beans,257,3,47,47,45,2,0.9574468085106383,0.0425531914893617,36.43509621101399,0.18153472814642385
0xcd719c599ebc51193c5c97cbe188f43c8c4c8745,Lost Discs,206,3,47,47,46,1,0.9787234042553191,0.02127659574468085,41.57835812471519,0.6908646188114306
0x4e88056e13de12bde065589e501033227d8188e6,The Daks Fantasies,206,3,47,48,46,2,0.9583333333333334,0.041666666666666664,32.49067612102753,0.1824179734510754
0x9b72654fca42e3415a0eba357f90fa34ef0b14e4,Poply x Molandaks,196,3,47,47,45,2,0.9574468085106383,0.0425531914893617,33.74456116023397,0.5175830930210568
0x84db60168be10fb2ae274ea84e24cb22ffe11ddd,Mondana Baddies: Baddie Eye,193,3,47,45,45,0,1.0,0.0,33.462213379125274,0.0
0xbb406139138401f4475ca5cf2d7152847159eb7a,SpiKeys,171,3,47,46,46,0,1.0,0.0,29.021472004521314,0.0
0x4bac889f20b9de43734f15379096c98f34154c50,LaMouch x Fantasytop Pass,167,3,47,43,42,1,0.9767441860465116,0.023255813953488372,23.031048272941216,0.056803935119221015
