collection_id,collection_name,holder_count,gn_community_id,gn_community_size,total_connections,intra_community_connections,inter_community_connections,gn_community_cohesion_score,gn_bridge_score,intra_community_weight,inter_community_weight
0xa18e1c7c6e8c663c5d835fffd70ef07b482fe884,Monadverse: Chapter 10,19860,0,1,0,0,0,0.0,0.0,0.0,0.0
0x3a9454c1b4c84d1861bb1209a647c834d137b442,The10kSquad,7515,1,38,36,35,1,0.9722222222222222,0.027777777777777776,30.214057634275175,1.0
0x4870e911b1986c6822a171cdf91806c3d44ce235,Sealuminati Testnetooor,3551,1,38,40,36,4,0.9,0.1,31.706654651718996,1.3596011724598633
0xa568cabe34c8ca0d2a8671009ae0f6486a314425,Meowwnads,3227,1,38,36,35,1,0.9722222222222222,0.027777777777777776,23.989683613020805,1.0
0x87e1f1824c9356733a25d6bed6b9c87a3b31e107,Spikes,2888,1,38,43,37,6,0.8604651162790697,0.13953488372093023,35.63379679612356,1.7107413124762056
0x9436689d617dd6696f94cd3d8bbdd234f30d2a52,ROARRR,2792,1,38,44,35,9,0.7954545454545454,0.20454545454545456,27.43521172642053,3.398468477423544
0x5a21b0f4a4f9b54e16282b6ed5ad014b3c77186f,La Mouch,2776,1,38,41,37,4,0.9024390243902439,0.0975609756097561,35.09617194648898,1.6906008439716742
0xa980f072bc06d67faec2b03a8ada0d6c9d0da9f8,Legacy Eggs,1716,1,38,45,37,8,0.8222222222222222,0.17777777777777778,35.58984419409477,2.4656277891644085
0x6ed438b2a8eff227e7e54b5324926941b140eea0,Blocknads,1603,1,38,41,37,4,0.9024390243902439,0.0975609756097561,35.65724837825523,1.5631767041326055
0x78ed9a576519024357ab06d9834266a04c9634b7,TheDaks,1442,1,38,44,37,7,0.8409090909090909,0.1590909090909091,35.60076623703867,2.0356183705533657
0xc5c9425d733b9f769593bd2814b6301916f91271,Purple Frens,1007,1,38,45,37,8,0.8222222222222222,0.17777777777777778,25.452442352607015,2.441983080816193
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,1,38,43,37,6,0.8604651162790697,0.13953488372093023,25.83661598260979,0.7592222739341634
0x88bbcba96a52f310497774e7fd5ebadf0ece21fb,Chewy,937,1,38,42,37,5,0.8809523809523809,0.11904761904761904,33.91792236285313,1.316656031829255
0xd20ef03e432208af083c0fb4e401049f4f29949f,Lil chogstars Superstarlist Pass,899,1,38,43,36,7,0.8372093023255814,0.16279069767441862,29.31677003763979,3.603008474159602
0xb981a81b45f604f82bd502a35c6dbe25dd2e8b8d,RealNads Premint Pass,894,1,38,42,37,5,0.8809523809523809,0.11904761904761904,28.959422652679287,0.7065868813126976
0xe6b5427b174344fd5cb1e3d5550306b0055473c6,Chogs Mystery Chest,800,1,38,45,36,9,0.8,0.2,34.86325176834498,3.7067424524330503
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,1,38,45,37,8,0.8222222222222222,0.17777777777777778,27.300970229193467,2.0151950753134935
0xf105209830ebcaef5f1b85fb3e7f44256d1af2e3,Moyaking Pass,676,1,38,43,37,6,0.8604651162790697,0.13953488372093023,33.52470916236586,1.7930857651641086
0x3ff5ab5eea49d25ab00b532e9e50b17d5218068c,BOBR,617,1,38,46,37,9,0.8043478260869565,0.1956521739130435,35.61074809610931,2.447915413937211
0x7da93750de078bfbbab0dd30635448e9ec7fb8f0,EGGcellent,564,1,38,46,37,9,0.8043478260869565,0.1956521739130435,32.792786538544505,4.731766178458411
